net - co_net,FNN-%25,MsFFN-%25,STMsFFN-%25,CNN-%25,ResNet-%25,FNN-%50,MsFFN-%50,STMsFFN-%50,CNN-%50,ResNet-%50,FNN-%75,MsFFN-%75,STMsFFN-%75,CNN-%75,ResNet-%75
FNN-%25,1.43,1.44,1.45,1.44,1.45,1.44,1.46,1.46,1.47,1.45,1.5,1.46,1.46,1.51,1.46
MsFFN-%25,2.52,2.53,2.5,2.5,2.51,2.52,2.56,2.57,2.56,2.54,2.54,2.56,2.53,2.71,2.55
STMsFFN-%25,3.92,3.94,3.94,4.03,4.04,3.98,3.99,4.0,4.13,4.09,4.0,4.03,4.05,4.36,4.08
CNN-%25,16.16,16.22,16.18,16.19,16.24,16.19,16.22,16.25,16.3,16.29,16.31,16.29,16.25,17.45,16.75
ResNet-%25,2.33,2.36,2.34,2.37,2.39,2.36,2.38,2.38,2.45,2.43,2.36,2.43,2.45,2.66,2.44
FNN-%50,0.84,0.85,0.84,0.87,0.88,0.86,0.87,0.86,0.9,0.88,,,,,
MsFFN-%50,1.93,1.83,1.81,1.85,1.89,1.84,1.84,1.83,1.91,1.9,,,,,
STMsFFN-%50,2.82,2.62,2.6,2.66,2.74,2.62,2.62,2.63,2.74,2.74,,,,,
CNN-%50,7.25,7.24,7.22,7.24,7.26,7.24,7.27,7.28,7.71,7.44,,,,,
ResNet-%50,1.43,1.46,1.45,1.47,1.5,1.5,1.49,1.5,1.54,1.52,,,,,
FNN-%75,0.68,0.67,0.67,0.67,0.67,,,,,,,,,,
MsFFN-%75,1.58,1.55,1.52,1.57,1.61,,,,,,,,,,
STMsFFN-%75,2.37,2.36,2.36,2.43,2.55,,,,,,,,,,
CNN-%75,5.2,5.19,5.15,5.22,5.26,,,,,,,,,,
ResNet-%75,1.36,1.38,1.37,1.37,1.41,,,,,,,,,,
